"Data file recorded 2020/12/8  11:40:17"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
 54.000,  0.949,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  1.000,  0.000,  0.000, 79.000, 81.000, 58.000, 20.000, 29.000,196.140, 83.000,-23.000,  2.000,-1020.000
 55.000,  1.051,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  1.000,  0.000,  0.000, 79.000, 81.000, 57.000, 20.000, 29.000,196.170, 83.000,  0.000, 25.000,-969.000
 56.000,  1.153,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  1.000,  0.000,  0.000, 79.000, 81.000, 57.000, 10.000, 29.000,196.140, 83.000,-15.000,  6.000,-1022.000
 57.000,  1.255,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  1.000,  0.000,  0.000, 79.000, 81.000, 57.000, 10.000, 29.000,196.250, 83.000, -9.000, 17.000,-991.000
 58.000,  1.357,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  1.000,  0.000,  0.000, 79.000, 81.000, 56.000, 10.000, 29.000,196.160, 83.000,-24.000, 28.000,-999.000
 59.000,  1.461,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  1.000,  0.000,  0.000, 79.000, 81.000, 56.000, 10.000, 29.000,196.160, 83.000,-25.000, 26.000,-1012.000
 60.000,  1.565,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 81.000, 57.000, 10.000, 29.000,196.220, 83.000,-14.000, 16.000,-999.000
 61.000,  1.663,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 81.000, 57.000, 10.000, 29.000,196.170, 84.000,  0.000, -1.000,-986.000
 62.000,  1.786,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 81.000, 57.000, 10.000, 29.000,196.150, 84.000,-13.000, 37.000,-976.000
 63.000,  1.875,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 57.000, 10.000, 29.000,196.250, 84.000,-14.000,-15.000,-1027.000
 64.000,  1.970,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 58.000, 10.000, 29.000,196.220, 84.000,-18.000, -3.000,-994.000
 65.000,  2.071,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 57.000, 10.000, 29.000,196.210, 84.000,-18.000, 24.000,-997.000
 66.000,  2.178,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 58.000, 10.000, 29.000,196.240, 84.000,-18.000, 24.000,-1001.000
 67.000,  2.278,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 58.000, 10.000, 29.000,196.170, 84.000,-24.000, -4.000,-1016.000
 68.000,  2.379,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 59.000, 10.000, 29.000,196.180, 84.000,-31.000,-22.000,-1023.000
 69.000,  2.482,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 59.000, 10.000, 29.000,196.190, 84.000,-30.000,-15.000,-1022.000
 70.000,  2.589,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 59.000, 10.000, 29.000,196.200, 84.000,-32.000,-12.000,-1029.000
 71.000,  2.687,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 60.000, 20.000, 29.000,196.270, 85.000,-33.000, -5.000,-1040.000
 72.000,  2.793,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 60.000, 20.000, 29.000,196.380, 85.000,-20.000,-18.000,-1015.000
 73.000,  2.897,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 60.000, 20.000, 29.000,196.390, 85.000, -7.000,  3.000,-982.000
 74.000,  2.989,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 61.000, 20.000, 29.000,196.270, 85.000,-14.000,  8.000,-997.000
 75.000,  3.092,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 61.000, 20.000, 29.000,196.310, 85.000,-33.000, 32.000,-1011.000
 76.000,  3.193,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 61.000, 20.000, 29.000,196.260, 85.000, -3.000, 26.000,-990.000
 77.000,  3.295,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 61.000, 20.000, 29.000,196.250, 85.000,  0.000, -5.000,-1006.000
 78.000,  3.402,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 61.000, 20.000, 29.000,196.270, 85.000,-20.000, 44.000,-996.000
 79.000,  3.499,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 62.000, 20.000, 29.000,196.250, 85.000,-10.000, 47.000,-945.000
 80.000,  3.605,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 62.000, 20.000, 29.000,196.290, 85.000,-38.000, 51.000,-994.000
 81.000,  3.707,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 63.000, 20.000, 29.000,196.330, 86.000,-17.000, 12.000,-1004.000
 82.000,  3.809,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 79.000, 80.000, 63.000, 20.000, 29.000,196.270, 86.000,-28.000, 22.000,-993.000
